l,Dl_obs,Dl_LCDM,Dl_RDM_DES,Dl_RDM_Planck
142.0,4515.26536,5584.184269575063,5701.247361353438,5701.247361353438
143.0,4754.61564,5644.593342979452,5762.646205637252,5762.646205637252
144.0,3902.32418,5705.086466141087,5824.128817651198,5824.128817651198
145.0,4271.07492,5765.652423205931,5885.683777568441,5885.683777568441
146.0,4241.71328,5826.279858012057,5947.299523644688,5947.299523644688
147.0,4697.06435,5886.95727719283,6008.964355373878,6008.964355373878
148.0,3741.89378,5947.673053382239,6070.666436747771,6070.666436747771
149.0,3383.04414,6008.415428521469,6132.3937996184995,6132.3937996184995
150.0,4547.83776,6069.172517265807,6194.134347163128,6194.134347163128
151.0,4223.68455,6129.932310490856,6255.875857449185,6255.875857449185
152.0,4566.11761,6190.68267889696,6317.605987099992,6317.605987099992
153.0,4566.77496,6251.411376710659,6379.3122750586335,6379.3122750586335
154.0,3939.42599,6312.106045481916,6440.982146449207,6440.982146449207
155.0,5325.15156,6372.754217975777,6502.602916534035,6502.602916534035
156.0,4314.59342,6433.343322157046,6564.1617947653485,6564.1617947653485
157.0,4626.32873,6493.860685266486,6625.645888929912,6625.645888929912
158.0,5524.17122,6554.293537986939,6687.042209384985,6687.042209384985
159.0,4670.96912,6614.629018697754,6748.337673383914,6748.337673383914
160.0,5308.57073,6674.854177815756,6809.519109489585,6809.519109489585
161.0,4692.45703,6734.955982220959,6870.573262073892,6870.573262073892
162.0,4615.96839,6794.921319765128,6931.486795901259,6931.486795901259
163.0,4339.31266,6854.737003861244,6992.246300794284,6992.246300794284
164.0,4708.25249,6914.389778151823,7052.838296379334,7052.838296379334
165.0,4778.19802,6973.866321253964,7113.24923691,7113.24923691
166.0,5364.62263,7033.153251578982,7173.465516166159,7173.465516166159
167.0,5616.59426,7092.2371322243325,7233.473472426351,7233.473472426351
168.0,5502.45544,7151.104475935512,7293.259393511081,7293.259393511081
169.0,4514.09669,7209.741750135556,7352.809521894633,7352.809521894633
170.0,4220.91923,7268.135382019651,7412.110059882856,7412.110059882856
171.0,4604.65923,7326.271763712335,7471.147174854358,7471.147174854358
172.0,5206.59664,7384.137257484709,7529.907004562475,7529.907004562475
173.0,5136.67061,7441.718201028973,7588.3756624952775,7588.3756624952775
174.0,4894.27361,7499.000912787601,7646.539243290891,7646.539243290891
175.0,5076.1802,7555.971697334333,7704.383828205229,7704.383828205229
176.0,5069.03673,7612.616850804193,7761.895490629337,7761.895490629337
177.0,4661.52742,7668.922666369597,7819.06030165332,7819.06030165332
178.0,4525.06263,7724.875439759636,7875.864335673909,7875.864335673909
179.0,6345.69516,7780.461474819492,7932.29367604257,7932.29367604257
180.0,5197.70944,7835.667089106981,7988.334420751079,7988.334420751079
181.0,3909.81996,7890.478619523081,8043.972688151396,8043.972688151396
182.0,4351.46614,7944.882427973319,8099.194622706617,8099.194622706617
183.0,4643.01895,7998.864907056816,8153.986400769799,8153.986400769799
184.0,5545.49866,8052.412485779761,8208.334236387316,8208.334236387316
185.0,6396.22412,8105.511635290031,8262.224387123471,8262.224387123471
186.0,5769.26048,8158.148874629658,8315.643159902942,8315.643159902942
187.0,5157.53951,8210.31077650178,8368.576916867698,8368.576916867698
188.0,6336.46067,8261.983973048704,8421.012081244933,8421.012081244933
